Domain,Rank,Conference Title,Acronym,CFP_URL,Papers_URL,CFP_keyword_counts,CFP_matched_nodes,Papers_keyword_counts,Papers_matched_nodes,Include,Last_updated
Cybersecurity and privacy,A*,ACM Conference on Computer and Communications Security,CCS,https://www.sigsac.org/ccs/CCS2025/call-for-papers/,https://www.sigsac.org/ccs/CCS2025/accepted-papers/,,,,,Yes,2025-12-01T12:12:54.390534Z
Cybersecurity and privacy,A,"Asia Conference on Information, Computer and Communications Security",AsiaCCS,https://asiaccs2025.hust.edu.vn/call-for-papers/,https://asiaccs2025.hust.edu.vn/full-program/,,,"{""energy"": 1, ""efficien*"": 9, ""environment*"": 2}",Environmental;Techniques:Energy management & optimization,Yes,2025-12-01T12:13:01.650768Z
Applied computing,A,International Conference on Web and Social Media,ICWSM,https://www.icwsm.org/2025/submit/index.html#cfp-full-papers,https://www.icwsm.org/2025/attend/index.html#accepted,,,"{""sustain*"": 1, ""green"": 1}",Sustainability Theme:Environmental,Yes,2025-12-01T12:13:08.521839Z
Distributed computing and systems software,A,"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",Mobisys,https://www.sigmobile.org/mobisys/2025/call_for_papers/,https://www.sigmobile.org/mobisys/2025/program/,"{""sustain*"": 3, ""carbon"": 1, ""carbon footprint"": 1, ""energy"": 5, ""low-power"": 2, ""efficien*"": 1}","Domain:Devices & Hardware;Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization;Techniques:Measurement, metrics & LCA;Techniques:Protocols & low-power networking","{""energy"": 2, ""low-power"": 1, ""efficien*"": 3}",Domain:Devices & Hardware;Environmental;Techniques:Energy management & optimization;Techniques:Protocols & low-power networking,Yes,2025-12-01T12:13:11.613915Z
Distributed computing and systems software,A,International Conference on Distributed Computing Systems,ICDCS,https://icdcs2025.icdcs.org/call-for-papers/,https://icdcs2025.icdcs.org/accepted-papers/,,,"{""sustain*"": 3, ""carbon"": 2, ""energy"": 4, ""energy-eff*"": 2, ""efficien*"": 25, ""life cycle"": 1, ""life-cycle"": 1, ""environment*"": 5}","Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization;Techniques:Measurement, metrics & LCA",Yes,2025-12-01T12:13:15.902613Z
Distributed computing and systems software,A,International Conference on Service Oriented Computing,ICSOC,https://icsoc2025.hit.edu.cn/19951/list.htm,https://icsoc2025.hit.edu.cn/19959/list.htm,"{""environment*"": 1}",,"{""energy"": 8, ""energy-eff*"": 2, ""efficien*"": 6, ""net-zero"": 1, ""environment*"": 6}",Environmental;Techniques:Energy management & optimization,Yes,2025-12-01T12:13:23.045097Z
Cybersecurity and privacy,A*,IEEE European Symposium on Security and Privacy,EuroS&P,https://eurosp2025.ieee-security.org/cfp.html,https://eurosp2025.ieee-security.org/accepted_and_awards.html,,,"{""efficien*"": 1, ""environment*"": 2}",,Yes,2025-12-01T12:13:29.200343Z
Cybersecurity and privacy,A*,Usenix Security Symposium,USENIX-Security,https://www.usenix.org/conference/usenixsecurity25/call-for-papers ,https://www.usenix.org/conference/usenixsecurity25/technical-sessions,"{""efficien*"": 1}",,"{""sustain*"": 1, ""energy"": 6, ""low-power"": 3, ""efficien*"": 171, ""life cycle"": 10, ""life-cycle"": 10, ""offset"": 1, ""environment*"": 61, ""climate"": 3}","Domain:Devices & Hardware;Environmental;Sustainability Theme:Environmental;Sustainability Theme:Governance, Policy & Standards;Sustainability Theme:Resilience & Adaptation;Techniques:Energy management & optimization;Techniques:Protocols & low-power networking",Yes,2025-12-01T12:13:31.928393Z
Cybersecurity and privacy,A,Annual Computer Security Applications Conference,ACSAC,https://www.acsac.org/2025/submissions/topics/,https://www.acsac.org/2025/program/papers/,,,"{""efficien*"": 3, ""environment*"": 4}",,Yes,2025-12-01T12:13:38.985258Z
Cybersecurity and privacy,A,European Symposium On Research In Computer Security,ESORICS,https://esorics2025.sciencesconf.org/resource/page/id/1,https://esorics2025.sciencesconf.org/resource/page/id/11,,,"{""efficien*"": 9, ""environment*"": 1}",,Yes,2025-12-01T12:13:43.749363Z
Unknown,Unranked - A,ACM Symposium on Cloud Computing,SoCC,https://acmsocc.org/2025/papers.html,https://acmsocc.org/2025/schedule.html,"{""sustain*"": 1, ""energy"": 1, ""energy-eff*"": 1, ""efficien*"": 1}",Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization,"{""sustain*"": 2, ""green"": 1, ""energy"": 1, ""energy-eff*"": 1, ""efficien*"": 10, ""environment*"": 3}",Environmental;Sustainability Theme:Environmental;Techniques:Energy management & optimization,Yes,2025-12-01T12:13:45.962107Z
Unknown,B - A,Extended Semantic Web Conference,ESWC,https://2025.eswc-conferences.org/call-for-papers-research-track/,https://2025.eswc-conferences.org/research-resource-and-in-use-papers/,,,,,No,2025-12-01T12:13:47.821118Z
Unknown,B - A,International Conference on Network Protocols,ICNP,https://ieeeicnp2025.pages.dev/cfp,https://ieeeicnp2025.pages.dev/acceptedpapers,,,"{""efficien*"": 10}",,Yes,2025-12-01T12:13:49.551973Z
Unknown,B - A*,ACM Conference on Security and Privacy in Wireless and Mobile Networks,ACM WiSec,https://wisec2025.gmu.edu/call-for-papers/,https://wisec2025.gmu.edu/program-detailed-program/,,,,,Yes,2025-12-01T12:13:57.712376Z
Unknown,B - A*,International Conference on Applied Cryptography and Network Security,ACNS,https://acns2025.fordaysec.de/call-for-papers/,https://acns2025.fordaysec.de/program-2025/,,,"{""efficien*"": 5}",,Yes,2025-12-01T12:13:58.721162Z
Unknown,B - A*,"IEEE/ACM International Symposium on Cluster, Cloud, and Internet Computing",CCGrid,https://site.uit.no/ccgrid2025/research-paper/,https://www.computer.org/csdl/proceedings/ccgrid/2025/27Y6B8jzv8Y,"{""sustain*"": 1, ""green"": 2, ""low-power"": 1, ""environment*"": 1}",Domain:Devices & Hardware;Sustainability Theme:Environmental;Techniques:Protocols & low-power networking,,,Yes,2025-12-01T12:14:02.317485Z
Unknown,B - A*,Extended Semantic Web Conference (was European Semantic Web Conference),ESWC,https://2025.eswc-conferences.org/call-for-contributions-eswc-2025/,Repeated,,,,,No,2025-12-01T12:14:10.780764Z
